Burkina Faso;BFA;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;85685553,98;17446609,82;92062592,87;2968514768;12912866893
Burundi;BDI;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;27597657,44;0;67195916,07;175679416;161194303,7
Cambodia;KHM;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;0;0;0;0;0
Cameroon;CMR;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;6485083877;7383865432;11032589046;12496930873;12119594507
Canada;CAN;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;2,46936E+11;2,91521E+11;8,16856E+11;1,19137E+12;9,92235E+11
Central African Republic;CAF;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;3881368,185;626803,0916;1099992,71;11880844,8;25665452,97
Chad;TCD;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;0;0;31294150791;47792382862;53749681593
Chile;CHL;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;1,41454E+11;1,16041E+11;2,60656E+11;7,50656E+11;7,86518E+11
China;CHN;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;5,55119E+11;4,33937E+11;1,69425E+12;5,97207E+12;6,21519E+12
Colombia;COL;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;55350600486;44541995453;85969753575;1,75873E+11;2,21741E+11
Comoros;COM;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;0;0;0;0;0
Congo, Dem. Rep.;COD;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;10380996320;5805963968;7992306762;44491049117;1,1125E+11
Congo, Rep.;COG;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;22091183884;36433313312;46180402710;54362713029;79068633263
Costa Rica;CRI;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;0;0;8482679,27;145336680,3;153298090,6
Cote d'Ivoire;CIV;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;691228034,9;2319020915;2529558921;8332008776;14091400145
Croatia;HRV;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;2846186238;2380797754;3225820338;4216370158;4901150831
Denmark;DNK;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;9812316400;14417342670;35147466570;43766921748;39039196123
Djibouti;DJI;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;0;0;0;0;0
Dominican Republic;DOM;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;1235518824;1805770295;4324657798;1105537661;12274335984
Ecuador;ECU;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;40015044691;68996728549;1,06045E+11;2,02379E+11;2,31539E+11
Egypt, Arab Rep.;EGY;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;1,05149E+11;97374130336;2,1612E+11;4,25563E+11;3,9222E+11
El Salvador;SLV;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;0;0;0;0;0
Estonia;EST;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;43638293,91;104225266,4;248191826,4;559270875,9;776272354,2
Ethiopia;ETH;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;66176298,18;17741817,51;398840294,5;1312542462;4863945787
Finland;FIN;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;434172090,8;464575239;1143238000;8976250061;15744091214
France;FRA;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;4171930520;2118449592;4348952808;4645262154;5346641308
Gabon;GAB;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;26897031297;59834572151;61527486384;70496705261;87081087354
Gambia, The;GMB;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;0;0;0;0;0
Georgia;GEO;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;922992665,4;514657627,4;1498397602;2636668058;3418539584
Germany;DEU;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;17078569732;11429408037;40208985351;77995601285;59788672701
Ghana;GHA;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;1814690515;682017921,1;4054154842;14736193560;44815946269
Greece;GRC;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;2728494972;969857886,7;6086203022;18416479674;15434824545
Guatemala;GTM;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;1254534649;3250452401;6976117765;6363985985;11820008314
Guinea;GIN;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;8375787473;5618928543;8160857629;11417512582;12550428712
Guyana;GUY;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;3011471897;2373943977;1800035761;2848603406;5238331864
Haiti;HTI;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;0;0;0;0;0
Honduras;HND;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;346855835,4;348808750,5;541048675;2390649278;1775246560
Hungary;HUN;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;7518782596;4836203751;5668998047;4162093303;4079238670
Iceland;ISL;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;0;0;0;0;0
India;IND;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;2,03411E+11;2,28543E+11;4,92912E+11;1,26254E+12;1,43183E+12
Indonesia;IDN;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;1,92001E+11;2,28239E+11;4,39325E+11;7,62741E+11;7,94372E+11
Iraq;IRQ;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;57823981546;2,50163E+11;1,05094E+12;1,9903E+12;2,41615E+12
Ireland;IRL;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;507952610,6;795966927,5;979258180,5;3023416036;1696720507
Italy;ITA;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;15092076008;13655458938;21949261622;26043082819;32014318576
Jamaica;JAM;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;17228325660;6890329140;5575683995;5689647977;3617050723
Japan;JPN;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;1255571664;839645428,5;1847088688;3582026742;5439656212
Jordan;JOR;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;66846922,81;107715553;173891214,1;18745944178;17311734333
Kazakhstan;KAZ;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;1,39299E+11;1,45862E+11;4,50515E+11;9,47895E+11;9,2394E+11
Kenya;KEN;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;8893087,01;3130881,434;91398281,86;445138055,6;1116642483
Korea, Rep.;KOR;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;615533961,8;148140090,7;1885177325;3481471046;4000420323
Kuwait;KWT;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;4,50181E+11;7,17422E+11;1,15716E+12;1,79338E+12;2,21007E+12
Kyrgyz Republic;KGZ;Natural capital, subsoil assets (constant 2014 US$);NW.NCA.SSOI.TO;654156678,7;557748541,1;3761871294;5820214406;8694248816
