TIME;Value
01.07.1948;5
01.05.1949;4,5
01.07.1949;4
01.10.1950;6
01.05.1952;5
01.08.1952;4,5
01.01.1953;4
01.06.1953;3,5
01.05.1954;3
01.08.1955;3,5
01.03.1956;4,5
01.05.1956;5,5
01.09.1956;5
01.01.1957;4,5
01.09.1957;4
01.01.1958;3,5
01.06.1958;3
01.01.1959;2,75
01.09.1959;3
01.10.1959;4
01.06.1960;5
01.11.1960;4
01.01.1961;3,5
01.05.1961;3
01.01.1965;3,5
01.08.1965;4
01.05.1966;5
01.01.1967;4,5
01.02.1967;4
01.04.1967;3,5
01.05.1967;3
01.04.1969;4
01.06.1969;5
01.09.1969;6
01.03.1970;7,5
01.07.1970;7
01.11.1970;6,5
01.12.1970;6
01.04.1971;5
01.10.1971;4,5
01.12.1971;4
01.02.1972;3
01.10.1972;3,5
01.11.1972;4
01.12.1972;4,5
01.01.1973;5
01.05.1973;6
01.06.1973;7
01.10.1974;6,5
01.12.1974;6
01.02.1975;5,5
01.03.1975;5
01.05.1975;4,5
01.08.1975;4
01.09.1975;3,5
01.12.1977;3
01.03.1979;4
01.07.1979;5
01.11.1979;6
01.02.1980;7
01.05.1980;7,5
01.08.1982;7
01.10.1982;6
01.12.1982;5
01.03.1983;4
01.06.1984;4,5
01.08.1985;4
01.03.1986;3,5
01.01.1987;3
01.12.1987;2,5
01.07.1988;3
01.08.1988;3,5
01.01.1989;4
01.04.1989;4,5
01.06.1989;5
01.10.1989;6
01.02.1991;6,5
01.08.1991;7,5
01.12.1991;8
01.07.1992;8,75
01.09.1992;8,25
01.02.1993;8
01.03.1993;7,5
01.04.1993;7,25
01.07.1993;6,75
01.09.1993;6,25
01.10.1993;5,75
01.02.1994;5,25
01.04.1994;5
01.05.1994;4,5
01.03.1995;4
01.08.1995;3,5
01.12.1995;3
01.04.1996;2,5
01.01.1999;3
01.05.1999;2,5
01.12.1999;3
01.03.2000;3,25
01.04.2000;3,5
01.05.2000;3,75
01.07.2000;4,25
01.09.2000;4,5
01.11.2000;4,75
01.06.2001;4,5
01.09.2001;4,25
01.10.2001;3,75
01.12.2001;3,25
01.01.2003;2,75
01.04.2003;2,5
01.07.2003;2
01.01.2006;2,25
01.04.2006;2,5
01.07.2006;2,75
01.09.2006;3
01.11.2006;3,25
01.01.2007;3,5
01.04.2007;3,75
01.07.2007;4
01.08.2008;4,25
01.11.2008;3,75
01.12.2008;3,25
01.01.2009;2,5
01.02.2009;2
01.04.2009;1,5
01.05.2009;1,25
01.06.2009;1
01.05.2011;1,25
01.08.2011;1,5
01.12.2011;1,25
01.01.2012;1
01.07.2012;0,75
01.05.2013;0,5
01.11.2013;0,25
01.06.2014;0,15
01.03.2016;0
