Cameroon;CMR;Total wealth (constant 2014 US$);NW.TOW.TO;3,27557E+11;3,81479E+11;4,39035E+11;5,37908E+11;7,15025E+11
Canada;CAN;Total wealth (constant 2014 US$);NW.TOW.TO;2,28613E+13;2,61094E+13;2,88199E+13;3,22741E+13;3,61344E+13
Central African Republic;CAF;Total wealth (constant 2014 US$);NW.TOW.TO;51563530553;67771718522;75374398264;95219080385;1,01156E+11
Chad;TCD;Total wealth (constant 2014 US$);NW.TOW.TO;1,01915E+11;1,22187E+11;1,80358E+11;2,22843E+11;2,72785E+11
Chile;CHL;Total wealth (constant 2014 US$);NW.TOW.TO;1,56058E+12;1,89881E+12;2,42569E+12;3,63776E+12;4,22241E+12
China;CHN;Total wealth (constant 2014 US$);NW.TOW.TO;3,6851E+13;5,05653E+13;6,18813E+13;1,09413E+14;1,47576E+14
Colombia;COL;Total wealth (constant 2014 US$);NW.TOW.TO;3,60805E+12;3,43371E+12;3,72872E+12;5,12797E+12;6,17888E+12
Comoros;COM;Total wealth (constant 2014 US$);NW.TOW.TO;5149725943;5458320241;5838980021;5480640715;6803386534
Congo, Dem. Rep.;COD;Total wealth (constant 2014 US$);NW.TOW.TO;7,71882E+11;5,60382E+11;4,76446E+11;5,94047E+11;9,17693E+11
Congo, Rep.;COG;Total wealth (constant 2014 US$);NW.TOW.TO;1,19609E+11;1,39729E+11;1,78062E+11;2,23092E+11;3,09848E+11
Costa Rica;CRI;Total wealth (constant 2014 US$);NW.TOW.TO;3,56602E+11;4,13213E+11;5,47778E+11;7,28671E+11;7,94451E+11
Cote d'Ivoire;CIV;Total wealth (constant 2014 US$);NW.TOW.TO;3,79823E+11;3,74459E+11;3,23401E+11;3,88911E+11;5,4251E+11
Croatia;HRV;Total wealth (constant 2014 US$);NW.TOW.TO;4,57296E+11;5,44961E+11;6,48309E+11;6,56909E+11;6,25351E+11
Denmark;DNK;Total wealth (constant 2014 US$);NW.TOW.TO;3,47118E+12;3,81561E+12;4,3317E+12;4,54525E+12;4,82139E+12
Djibouti;DJI;Total wealth (constant 2014 US$);NW.TOW.TO;9927893335;15403715601;12983556440;22728332195;20076305969
Dominican Republic;DOM;Total wealth (constant 2014 US$);NW.TOW.TO;4,00463E+11;5,51499E+11;6,5401E+11;8,08638E+11;1,01205E+12
Ecuador;ECU;Total wealth (constant 2014 US$);NW.TOW.TO;6,21924E+11;8,35227E+11;1,04799E+12;1,42617E+12;1,62927E+12
Egypt, Arab Rep.;EGY;Total wealth (constant 2014 US$);NW.TOW.TO;1,71015E+12;1,95593E+12;2,41662E+12;3,18192E+12;3,44611E+12
El Salvador;SLV;Total wealth (constant 2014 US$);NW.TOW.TO;1,64388E+11;2,15091E+11;2,21232E+11;2,57928E+11;2,69538E+11
Estonia;EST;Total wealth (constant 2014 US$);NW.TOW.TO;2,25276E+11;2,22253E+11;2,75226E+11;2,81933E+11;3,4034E+11
Ethiopia;ETH;Total wealth (constant 2014 US$);NW.TOW.TO;3,8236E+11;4,48515E+11;6,14875E+11;8,48034E+11;1,27256E+12
Finland;FIN;Total wealth (constant 2014 US$);NW.TOW.TO;2,36485E+12;2,53242E+12;3,32587E+12;3,71715E+12;3,96736E+12
France;FRA;Total wealth (constant 2014 US$);NW.TOW.TO;3,04124E+13;3,40998E+13;3,67826E+13;4,01951E+13;4,25253E+13
Gabon;GAB;Total wealth (constant 2014 US$);NW.TOW.TO;2,20113E+11;2,45705E+11;2,3993E+11;2,69444E+11;3,37368E+11
Gambia, The;GMB;Total wealth (constant 2014 US$);NW.TOW.TO;5037071030;5806012283;7272877467;8976870374;10041548362
Georgia;GEO;Total wealth (constant 2014 US$);NW.TOW.TO;1,09636E+11;1,22672E+11;1,20826E+11;1,30996E+11;1,65208E+11
Germany;DEU;Total wealth (constant 2014 US$);NW.TOW.TO;4,28391E+13;4,46383E+13;4,38234E+13;5,24405E+13;5,90414E+13
Ghana;GHA;Total wealth (constant 2014 US$);NW.TOW.TO;3,06625E+11;3,10878E+11;4,34051E+11;4,61831E+11;6,70849E+11
Greece;GRC;Total wealth (constant 2014 US$);NW.TOW.TO;2,79094E+12;3,13541E+12;3,47534E+12;3,40309E+12;2,48266E+12
Guatemala;GTM;Total wealth (constant 2014 US$);NW.TOW.TO;3,45899E+11;4,0943E+11;5,25643E+11;6,10353E+11;6,90908E+11
Guinea;GIN;Total wealth (constant 2014 US$);NW.TOW.TO;36086940401;42822069716;59981998538;86792429959;1,09777E+11
Guyana;GUY;Total wealth (constant 2014 US$);NW.TOW.TO;40922271697;43701239441;40790909251;45530721009;53450002126
Haiti;HTI;Total wealth (constant 2014 US$);NW.TOW.TO;86616401333;1,09237E+11;1,09234E+11;1,10278E+11;1,59008E+11
Honduras;HND;Total wealth (constant 2014 US$);NW.TOW.TO;1,89385E+11;2,25426E+11;2,66533E+11;3,37965E+11;3,56511E+11
Hungary;HUN;Total wealth (constant 2014 US$);NW.TOW.TO;1,10722E+12;1,1921E+12;1,38533E+12;1,41809E+12;1,63309E+12
Iceland;ISL;Total wealth (constant 2014 US$);NW.TOW.TO;1,85623E+11;2,29286E+11;2,88209E+11;2,20681E+11;2,70374E+11
India;IND;Total wealth (constant 2014 US$);NW.TOW.TO;8,39095E+12;1,02958E+13;1,37192E+13;1,88776E+13;2,35886E+13
Indonesia;IDN;Total wealth (constant 2014 US$);NW.TOW.TO;6,51547E+12;5,3095E+12;6,64017E+12;9,83515E+12;1,19387E+13
Iraq;IRQ;Total wealth (constant 2014 US$);NW.TOW.TO;2,35601E+11;4,25115E+11;1,35887E+12;2,81797E+12;3,58746E+12
Ireland;IRL;Total wealth (constant 2014 US$);NW.TOW.TO;1,54514E+12;2,37783E+12;3,02329E+12;2,85645E+12;2,89618E+12
Italy;ITA;Total wealth (constant 2014 US$);NW.TOW.TO;2,28011E+13;2,35041E+13;2,52477E+13;2,65956E+13;2,59853E+13
Jamaica;JAM;Total wealth (constant 2014 US$);NW.TOW.TO;1,99391E+11;1,83321E+11;2,028E+11;1,98721E+11;1,99747E+11
Japan;JPN;Total wealth (constant 2014 US$);NW.TOW.TO;6,45339E+13;6,87323E+13;6,55738E+13;6,81233E+13;7,27101E+13
Jordan;JOR;Total wealth (constant 2014 US$);NW.TOW.TO;2,11322E+11;2,30977E+11;2,28575E+11;3,54322E+11;3,65516E+11
Kazakhstan;KAZ;Total wealth (constant 2014 US$);NW.TOW.TO;1,62584E+12;1,43636E+12;2,09927E+12;2,80438E+12;3,12782E+12
Kenya;KEN;Total wealth (constant 2014 US$);NW.TOW.TO;5,87733E+11;5,06979E+11;6,26286E+11;7,37708E+11;8,709E+11
Korea, Rep.;KOR;Total wealth (constant 2014 US$);NW.TOW.TO;1,00085E+13;1,1845E+13;1,52161E+13;1,82384E+13;2,13824E+13
Kuwait;KWT;Total wealth (constant 2014 US$);NW.TOW.TO;1,28927E+12;1,64971E+12;2,41165E+12;3,39353E+12;4,21529E+12
Kyrgyz Republic;KGZ;Total wealth (constant 2014 US$);NW.TOW.TO;70857220981;86507134142;1,05661E+11;1,3043E+11;1,42555E+11
Lao PDR;LAO;Total wealth (constant 2014 US$);NW.TOW.TO;77282298007;1,08644E+11;1,50109E+11;2,03782E+11;2,62936E+11
Latvia;LVA;Total wealth (constant 2014 US$);NW.TOW.TO;2,44567E+11;2,73086E+11;3,867E+11;3,75171E+11;4,7234E+11
Lebanon;LBN;Total wealth (constant 2014 US$);NW.TOW.TO;2,73505E+11;2,58172E+11;2,62317E+11;3,42234E+11;3,65619E+11
Liberia;LBR;Total wealth (constant 2014 US$);NW.TOW.TO;17437725889;20534946116;22706256521;32001655018;44962288010
Lithuania;LTU;Total wealth (constant 2014 US$);NW.TOW.TO;2,97331E+11;3,68958E+11;4,68482E+11;4,49629E+11;4,95705E+11
