Brent + 3Y;;Brent + 2Y;;Brent + 1Y;;Brent + 6M;;WTI + 3Y;;WTI + 2Y;;WTI + 1Y;;WTI + 6M;
Date;COM1 Comdty;Date;COM0 Comdty;Date;COM9 Comdty;Date;COZ8 Comdty;Date;CLK1 Comdty;Date;CLK0 Comdty;Date;CLK9 Comdty;Date;CLX8 Comdty
19.05.2008;127,01;29.05.2014;93,39;16.11.2010;91,94;16.11.2009;101,41;20.11.2015;56,76;20.11.2014;80,19;20.11.2013;80,12;16.11.2012;85,49
20.05.2008;132,42;30.05.2014;93,47;17.11.2010;90,25;17.11.2009;102,01;23.11.2015;57,05;21.11.2014;81,06;21.11.2013;79,68;19.11.2012;85,46
21.05.2008;136,14;02.06.2014;93,66;18.11.2010;91,52;18.11.2009;102,67;24.11.2015;58,31;24.11.2014;80,77;22.11.2013;79,72;20.11.2012;85,05
22.05.2008;130,94;03.06.2014;93,58;19.11.2010;90,72;19.11.2009;101,4;25.11.2015;58,28;25.11.2014;80,36;25.11.2013;80,12;21.11.2012;85,61
23.05.2008;130,4;04.06.2014;93,28;22.11.2010;90,83;20.11.2009;101,65;27.11.2015;57,76;26.11.2014;80,84;26.11.2013;80,28;23.11.2012;86,88
26.05.2008;130,88;05.06.2014;93,8;23.11.2010;90,51;23.11.2009;101,32;30.11.2015;57,55;28.11.2014;77,72;27.11.2013;80,12;26.11.2012;86,05
27.05.2008;128,38;06.06.2014;93,32;24.11.2010;92,54;24.11.2009;100,28;01.12.2015;57,47;01.12.2014;79,5;29.11.2013;80,45;27.11.2012;85,79
28.05.2008;128,38;09.06.2014;93,65;25.11.2010;92,99;25.11.2009;102,4;02.12.2015;57,19;02.12.2014;78,27;02.12.2013;80,56;28.11.2012;85,89
29.05.2008;125,9;10.06.2014;93,86;26.11.2010;92,47;26.11.2009;101,01;03.12.2015;57,79;03.12.2014;78,17;03.12.2013;80,4;29.11.2012;85,75
30.05.2008;125,29;11.06.2014;94,09;29.11.2010;93,99;27.11.2009;101,72;04.12.2015;57,74;04.12.2014;76,35;04.12.2013;80,25;30.11.2012;85,67
02.06.2008;126,61;12.06.2014;94,23;30.11.2010;92,14;30.11.2009;103,44;07.12.2015;57,49;05.12.2014;74,78;05.12.2013;79,71;03.12.2012;85,44
03.06.2008;125,26;13.06.2014;94,03;01.12.2010;93,66;01.12.2009;103,76;08.12.2015;57,41;08.12.2014;72,6;06.12.2013;79,94;04.12.2012;85,26
04.06.2008;123,15;16.06.2014;95,2;02.12.2010;92,96;02.12.2009;102,98;09.12.2015;57,31;09.12.2014;72,74;09.12.2013;80,05;05.12.2012;85,71
05.06.2008;126,83;17.06.2014;96,69;03.12.2010;90,84;03.12.2009;104,89;10.12.2015;57,51;10.12.2014;71,3;10.12.2013;79,89;06.12.2012;85,36
06.06.2008;132,7;18.06.2014;97,11;06.12.2010;89,75;04.12.2009;104,18;11.12.2015;56,81;11.12.2014;71,15;11.12.2013;80,3;07.12.2012;85,36
09.06.2008;129,95;19.06.2014;97,48;07.12.2010;91,72;07.12.2009;103,43;14.12.2015;55,65;12.12.2014;69,19;12.12.2013;80,04;10.12.2012;84,83
10.06.2008;130,3;20.06.2014;97,54;08.12.2010;93,05;08.12.2009;102,37;15.12.2015;55,72;15.12.2014;67,7;13.12.2013;79,01;11.12.2012;85,15
11.06.2008;135,5;23.06.2014;98,01;09.12.2010;93,03;09.12.2009;99,74;16.12.2015;55,33;16.12.2014;66,59;16.12.2013;79,36;12.12.2012;85,23
12.06.2008;136,3;24.06.2014;98,7;10.12.2010;92,73;10.12.2009;100,5;17.12.2015;55,15;17.12.2014;66,99;17.12.2013;79,44;13.12.2012;84,2
13.06.2008;135,34;25.06.2014;98,58;13.12.2010;93,06;11.12.2009;100,06;18.12.2015;54,85;18.12.2014;67,67;18.12.2013;78,79;14.12.2012;84,94
16.06.2008;136,62;26.06.2014;97,98;14.12.2010;93,54;14.12.2009;100,1;21.12.2015;54,17;19.12.2014;70,54;19.12.2013;78,37;17.12.2012;84,26
17.06.2008;135,51;27.06.2014;98,27;15.12.2010;94,1;15.12.2009;100,12;22.12.2015;53,29;22.12.2014;70,37;20.12.2013;78,11;18.12.2012;84,2
18.06.2008;136,66;30.06.2014;97,97;16.12.2010;93,76;16.12.2009;101,48;23.12.2015;53,41;23.12.2014;71,63;23.12.2013;78,11;19.12.2012;84,82
19.06.2008;133,18;01.07.2014;98,48;17.12.2010;93,81;17.12.2009;100,94;24.12.2015;54,35;24.12.2014;71,84;24.12.2013;78,04;20.12.2012;84,51
20.06.2008;134,54;02.07.2014;98,47;20.12.2010;94,64;18.12.2009;101,29;28.12.2015;53,98;26.12.2014;71,47;26.12.2013;78,22;21.12.2012;84,42
23.06.2008;135,56;03.07.2014;98,55;21.12.2010;94,64;21.12.2009;100,59;29.12.2015;54,71;29.12.2014;70,69;27.12.2013;78,35;24.12.2012;84,49
24.06.2008;136,33;04.07.2014;98,3;22.12.2010;94,75;22.12.2009;101,15;30.12.2015;54,04;30.12.2014;70,61;30.12.2013;78,28;26.12.2012;85,07
25.06.2008;134,56;07.07.2014;98,55;23.12.2010;95,21;23.12.2009;101,96;31.12.2015;54,59;31.12.2014;70,52;31.12.2013;78,04;27.12.2012;85,14
26.06.2008;137,92;08.07.2014;97,97;24.12.2010;94,6;24.12.2009;102,06;04.01.2016;54,42;02.01.2015;70,02;02.01.2014;77,19;28.12.2012;85,11
27.06.2008;138,78;09.07.2014;98,11;27.12.2010;94,95;28.12.2009;102,9;05.01.2016;53,91;05.01.2015;68,69;03.01.2014;76,93;31.12.2012;85,74
30.06.2008;139,14;10.07.2014;98;28.12.2010;95,38;29.12.2009;103,18;06.01.2016;52,74;06.01.2015;66,93;06.01.2014;76,98;02.01.2013;85,08
01.07.2008;140,09;11.07.2014;98,21;29.12.2010;95,58;30.12.2009;103,26;07.01.2016;51,81;07.01.2015;66,32;07.01.2014;76,06;03.01.2013;84,13
02.07.2008;142,97;14.07.2014;99,17;30.12.2010;95,02;31.12.2009;102,47;08.01.2016;51,73;08.01.2015;66,34;08.01.2014;75,58;04.01.2013;84,05
03.07.2008;144,54;15.07.2014;98,56;31.12.2010;96,26;04.01.2010;103,61;11.01.2016;50,5;09.01.2015;67,6;09.01.2014;75,87;07.01.2013;84,53
04.07.2008;143,73;16.07.2014;97,85;03.01.2011;95,86;05.01.2010;103,96;12.01.2016;49,24;12.01.2015;66,9;10.01.2014;75,86;08.01.2013;84,33
07.07.2008;143,27;17.07.2014;96,88;04.01.2011;95,15;06.01.2010;105,38;13.01.2016;48,24;13.01.2015;67,63;13.01.2014;75,78;09.01.2013;84,39
08.07.2008;139,33;18.07.2014;96,22;05.01.2011;97,26;07.01.2010;104,85;14.01.2016;48,77;14.01.2015;68,12;14.01.2014;76,61;10.01.2013;84,09
09.07.2008;139,35;21.07.2014;97,93;06.01.2011;96,9;08.01.2010;105,22;15.01.2016;46,48;15.01.2015;65,85;15.01.2014;76,99;11.01.2013;84,06
10.07.2008;143,03;22.07.2014;97,15;07.01.2011;95,28;11.01.2010;105,21;19.01.2016;45,24;16.01.2015;67,06;16.01.2014;76,03;14.01.2013;84,56
11.07.2008;144,1;23.07.2014;97,95;10.01.2011;96,84;12.01.2010;104;20.01.2016;44,76;20.01.2015;65,62;17.01.2014;75,96;15.01.2013;84,5
14.07.2008;145,35;24.07.2014;97,76;11.01.2011;98,05;13.01.2010;103,31;21.01.2016;45,14;21.01.2015;66,07;21.01.2014;75,88;16.01.2013;84,87
15.07.2008;140,61;25.07.2014;97,84;12.01.2011;98,09;14.01.2010;103,11;22.01.2016;47,13;22.01.2015;65,47;22.01.2014;75,74;17.01.2013;84,72
16.07.2008;138,23;28.07.2014;97,55;13.01.2011;98,23;15.01.2010;101,95;25.01.2016;47,38;23.01.2015;65,9;23.01.2014;75,54;18.01.2013;84,61
17.07.2008;134,56;29.07.2014;98,21;14.01.2011;99,23;18.01.2010;101,62;26.01.2016;48,16;26.01.2015;65,65;24.01.2014;75,92;22.01.2013;84,63
18.07.2008;133,71;30.07.2014;98,47;17.01.2011;98,49;19.01.2010;102,06;27.01.2016;48,76;27.01.2015;66,7;27.01.2014;75,83;23.01.2013;84,96
21.07.2008;136,04;31.07.2014;98,24;18.01.2011;99,34;20.01.2010;101,45;28.01.2016;49,27;28.01.2015;66,06;28.01.2014;76,06;24.01.2013;84,99
22.07.2008;133,82;01.08.2014;98,7;19.01.2011;99,23;21.01.2010;99,65;29.01.2016;50,23;29.01.2015;67,12;29.01.2014;75,65;25.01.2013;84,62
23.07.2008;130,63;04.08.2014;98,31;20.01.2011;98,96;22.01.2010;98,14;01.02.2016;48,95;30.01.2015;69,37;30.01.2014;75,44;28.01.2013;85,05
24.07.2008;128,15;05.08.2014;98,12;21.01.2011;99,94;25.01.2010;98,88;02.02.2016;48,22;02.02.2015;69,91;31.01.2014;74,9;29.01.2013;84,74
25.07.2008;125,36;06.08.2014;98,13;24.01.2011;99,52;26.01.2010;98,15;03.02.2016;49,07;03.02.2015;71,25;03.02.2014;75,25;30.01.2013;84,72
28.07.2008;126,57;07.08.2014;98,86;25.01.2011;99,03;27.01.2010;96,93;04.02.2016;49,53;04.02.2015;69,58;04.02.2014;75,92;31.01.2013;84,59
29.07.2008;124,29;08.08.2014;98,38;26.01.2011;100,83;28.01.2010;96,74;05.02.2016;49,44;05.02.2015;70,35;05.02.2014;77,13;01.02.2013;83,58
30.07.2008;127,24;11.08.2014;98,38;27.01.2011;100,69;29.01.2010;95,91;08.02.2016;49,06;06.02.2015;69,65;06.02.2014;77,28;04.02.2013;83,54
31.07.2008;124,74;12.08.2014;98,04;28.01.2011;101,35;01.02.2010;97,37;09.02.2016;46,61;09.02.2015;70,07;07.02.2014;77,69;05.02.2013;84,43
01.08.2008;126,6;13.08.2014;98,57;31.01.2011;102,3;02.02.2010;98,61;10.02.2016;47,02;10.02.2015;69,44;10.02.2014;77,38;06.02.2013;84,85
04.08.2008;123,4;14.08.2014;97,64;01.02.2011;103,02;03.02.2010;98,54;11.02.2016;47,06;11.02.2015;69,7;11.02.2014;77,92;07.02.2013;85,17
05.08.2008;120,16;15.08.2014;98,1;02.02.2011;104,11;04.02.2010;95,54;12.02.2016;49,53;12.02.2015;70,82;12.02.2014;78,12;08.02.2013;85,68
06.08.2008;118,94;18.08.2014;97,88;03.02.2011;104,75;05.02.2010;93,31;16.02.2016;48,36;13.02.2015;69,88;13.02.2014;78,31;11.02.2013;86,06
07.08.2008;118,88;19.08.2014;97,63;04.02.2011;103,78;08.02.2010;93,81;17.02.2016;49,21;17.02.2015;69,52;14.02.2014;78,36;12.02.2013;85,21
08.08.2008;116,71;20.08.2014;97,27;07.02.2011;103,97;09.02.2010;95,51;18.02.2016;48,7;18.02.2015;69,25;18.02.2014;77,7;13.02.2013;85,45
11.08.2008;116,52;21.08.2014;97,01;08.02.2011;104,84;10.02.2010;95,18;19.02.2016;47,75;19.02.2015;68,68;19.02.2014;77,48;14.02.2013;85,44
12.08.2008;114,78;22.08.2014;96,98;09.02.2011;105,98;11.02.2010;95,58;22.02.2016;48,72;20.02.2015;69,77;20.02.2014;77,82;15.02.2013;84,83
13.08.2008;116,71;25.08.2014;97,1;10.02.2011;105,38;12.02.2010;94,67;23.02.2016;47,63;23.02.2015;69,6;21.02.2014;77,99;19.02.2013;84,13
14.08.2008;116,39;26.08.2014;96,78;11.02.2011;104,69;15.02.2010;94,19;24.02.2016;47,92;24.02.2015;70,12;24.02.2014;78,21;20.02.2013;83,9
15.08.2008;116,44;27.08.2014;96,62;14.02.2011;106,45;16.02.2010;96,62;25.02.2016;48,16;25.02.2015;70,74;25.02.2014;77,9;21.02.2013;83,19
18.08.2008;115,29;28.08.2014;95,86;15.02.2011;105,4;17.02.2010;96,44;26.02.2016;47,24;26.02.2015;70,42;26.02.2014;78,01;22.02.2013;83,47
19.08.2008;116,57;29.08.2014;95,76;16.02.2011;106,88;18.02.2010;96,63;29.02.2016;48,29;27.02.2015;70,38;27.02.2014;78,34;25.02.2013;83,55
20.08.2008;118,76;01.09.2014;95,69;17.02.2011;105,94;19.02.2010;95,56;01.03.2016;48,52;02.03.2015;69,97;28.02.2014;78,59;26.02.2013;83,6
21.08.2008;125,11;02.09.2014;95,39;18.02.2011;106,13;22.02.2010;96,34;02.03.2016;48,3;03.03.2015;70,5;03.03.2014;78,59;27.02.2013;83,24
22.08.2008;119,36;03.09.2014;95,94;21.02.2011;107,76;23.02.2010;95,16;03.03.2016;48,07;04.03.2015;69,28;04.03.2014;78,54;28.02.2013;82,91
25.08.2008;119,81;04.09.2014;95,76;22.02.2011;105,66;24.02.2010;95,75;04.03.2016;48,74;05.03.2015;68,78;05.03.2014;79,21;01.03.2013;83,59
26.08.2008;120,24;05.09.2014;95,87;23.02.2011;105,78;25.02.2010;94,24;07.03.2016;49,9;06.03.2015;68,06;06.03.2014;79,71;04.03.2013;83,5
27.08.2008;121,64;08.09.2014;96,46;24.02.2011;107,16;26.02.2010;95,14;08.03.2016;49,04;09.03.2015;67,54;07.03.2014;79,78;05.03.2013;84,06
28.08.2008;119,8;09.09.2014;97;25.02.2011;108,2;01.03.2010;94,02;09.03.2016;49,96;10.03.2015;67,02;10.03.2014;79,56;06.03.2013;83,6
29.08.2008;119,56;10.09.2014;97,49;28.02.2011;108,04;02.03.2010;94,85;10.03.2016;49,68;11.03.2015;67,22;11.03.2014;79,91;07.03.2013;83,42
01.09.2008;115,89;11.09.2014;96,56;01.03.2011;109,26;03.03.2010;95,88;11.03.2016;50;12.03.2015;66,7;12.03.2014;79,83;08.03.2013;83,45
02.09.2008;117,09;12.09.2014;96,34;02.03.2011;110,38;04.03.2010;95,95;14.03.2016;49,2;13.03.2015;66,2;13.03.2014;80,2;11.03.2013;83,36
03.09.2008;116,42;15.09.2014;96,21;03.03.2011;110,41;05.03.2010;97,06;15.03.2016;49,08;16.03.2015;66,67;14.03.2014;80,34;12.03.2013;84,09
04.09.2008;114,5;16.09.2014;96,34;04.03.2011;110,05;08.03.2010;97,75;16.03.2016;49,67;17.03.2015;65,98;17.03.2014;79,88;13.03.2013;83,91
05.09.2008;112,35;17.09.2014;96,58;07.03.2011;109,55;09.03.2010;97,09;17.03.2016;49,7;18.03.2015;67,32;18.03.2014;79,81;14.03.2013;84,05
08.09.2008;111,94;18.09.2014;96,78;08.03.2011;108,99;10.03.2010;97,03;18.03.2016;49,98;19.03.2015;66,41;19.03.2014;79,67;15.03.2013;84,51
09.09.2008;109,14;19.09.2014;96,64;09.03.2011;111,06;11.03.2010;96,75;21.03.2016;50,23;20.03.2015;66,94;20.03.2014;79,89;18.03.2013;85,04
10.09.2008;107,98;22.09.2014;96,71;10.03.2011;109,84;12.03.2010;95,41;22.03.2016;50,41;23.03.2015;67,12;21.03.2014;79,98;19.03.2013;84,2
11.09.2008;106,72;23.09.2014;96,35;11.03.2011;108,85;15.03.2010;94,03;23.03.2016;50,01;24.03.2015;66,45;24.03.2014;79,93;20.03.2013;83,75
12.09.2008;107,71;24.09.2014;96,08;14.03.2011;108,59;16.03.2010;94,66;24.03.2016;49,68;25.03.2015;66,44;25.03.2014;79,57;21.03.2013;83,57
15.09.2008;103,22;25.09.2014;95,8;15.03.2011;104,43;17.03.2010;95,03;28.03.2016;49,62;26.03.2015;66,3;26.03.2014;79,45;22.03.2013;83,31
16.09.2008;97,66;26.09.2014;94,65;16.03.2011;104,25;18.03.2010;94,31;29.03.2016;49,71;27.03.2015;64,87;27.03.2014;79,28;25.03.2013;83,36
17.09.2008;101,27;29.09.2014;93,7;17.03.2011;106,37;19.03.2010;93,16;30.03.2016;50,41;30.03.2015;65,44;28.03.2014;78,48;26.03.2013;83,77
18.09.2008;102,39;30.09.2014;93,13;18.03.2011;104,95;22.03.2010;93;31.03.2016;50,78;31.03.2015;64,93;31.03.2014;78,88;27.03.2013;83,94
19.09.2008;107,15;01.10.2014;93,26;21.03.2011;106,02;23.03.2010;92,36;01.04.2016;49,65;01.04.2015;65,64;01.04.2014;79,27;28.03.2013;84,05
22.09.2008;112,44;02.10.2014;92,78;22.03.2011;107,12;24.03.2010;91,25;04.04.2016;48,77;02.04.2015;64,97;02.04.2014;80,27;01.04.2013;83,9
23.09.2008;109,42;03.10.2014;92,66;23.03.2011;106,48;25.03.2010;91,13;05.04.2016;48,37;06.04.2015;65,25;03.04.2014;80,7;02.04.2013;83,63
24.09.2008;108,84;06.10.2014;93,46;24.03.2011;106,75;26.03.2010;90,5;06.04.2016;49,46;07.04.2015;64,49;04.04.2014;80,58;03.04.2013;83,58
25.09.2008;111,62;07.10.2014;93,24;25.03.2011;106,96;29.03.2010;90,81;07.04.2016;48,5;08.04.2015;63,39;07.04.2014;80,7;04.04.2013;84,03
26.09.2008;111,34;08.10.2014;93,56;28.03.2011;105,92;30.03.2010;91,01;08.04.2016;49,94;09.04.2015;64,5;08.04.2014;80,52;05.04.2013;84,54
29.09.2008;104,26;09.10.2014;93,82;29.03.2011;106,34;31.03.2010;92,04;11.04.2016;50,56;10.04.2015;64,97;09.04.2014;80,39;08.04.2013;84,42
30.09.2008;108,13;10.10.2014;94,2;30.03.2011;106,12;01.04.2010;93,32;12.04.2016;51,36;13.04.2015;64,64;10.04.2014;80,53;09.04.2013;84,47
01.10.2008;105,99;13.10.2014;94,58;31.03.2011;107,4;05.04.2010;95,36;13.04.2016;51,18;14.04.2015;64,78;11.04.2014;80,42;10.04.2013;84,52
02.10.2008;101,54;14.10.2014;94,57;01.04.2011;107,15;06.04.2010;95,68;14.04.2016;50,53;15.04.2015;66,07;14.04.2014;80,5;11.04.2013;84,89
03.10.2008;100,9;15.10.2014;93,09;04.04.2011;107,91;07.04.2010;95,79;15.04.2016;49,33;16.04.2015;66,34;15.04.2014;80,59;12.04.2013;84,55
06.10.2008;96,43;16.10.2014;91,79;05.04.2011;108,74;08.04.2010;95,63;18.04.2016;49,18;17.04.2015;65,89;16.04.2014;80,74;15.04.2013;83
07.10.2008;97,57;17.10.2014;92,29;06.04.2011;107,32;09.04.2010;96,04;19.04.2016;49,85;20.04.2015;66,61;17.04.2014;80,8;16.04.2013;82,79
08.10.2008;97,61;20.10.2014;91,34;07.04.2011;106,07;12.04.2010;96,81;20.04.2016;51,17;21.04.2015;66,91;21.04.2014;81,22;17.04.2013;81,26
09.10.2008;96,12;21.10.2014;89,81;08.04.2011;107,34;13.04.2010;96,4;21.04.2016;50,97;22.04.2015;67,32;22.04.2014;81,56;18.04.2013;80,7
10.10.2008;91,56;22.10.2014;89,31;11.04.2011;105,2;14.04.2010;97,31;22.04.2016;51,99;23.04.2015;67,97;23.04.2014;81,49;19.04.2013;81,27
13.10.2008;93,15;23.10.2014;90,09;12.04.2011;103,28;15.04.2010;98,23;25.04.2016;52,07;24.04.2015;66,81;24.04.2014;81,18;22.04.2013;82,26
14.10.2008;90,66;24.10.2014;90,7;13.04.2011;105,19;16.04.2010;97,35;26.04.2016;52,51;27.04.2015;66,77;25.04.2014;81,07;23.04.2013;82,59
15.10.2008;88,18;27.10.2014;91,16;14.04.2011;104,15;19.04.2010;96,57;27.04.2016;53,33;28.04.2015;66,84;28.04.2014;81,21;24.04.2013;83,14
16.10.2008;85,36;28.10.2014;91,46;15.04.2011;106,5;20.04.2010;97,24;28.04.2016;53,13;29.04.2015;66,87;29.04.2014;81,13;25.04.2013;84,12
17.10.2008;87,07;29.10.2014;91,96;18.04.2011;105,4;21.04.2010;99,07;29.04.2016;53,39;30.04.2015;67,02;30.04.2014;81,05;26.04.2013;83,49
20.10.2008;89,5;30.10.2014;91,74;19.04.2011;105,55;22.04.2010;98,91;02.05.2016;52,88;01.05.2015;66,88;01.05.2014;80,99;29.04.2013;83,39
21.10.2008;88,46;31.10.2014;91,95;20.04.2011;107,27;23.04.2010;99,45;03.05.2016;52,71;04.05.2015;67,15;02.05.2014;80,84;30.04.2013;83,43
22.10.2008;83,44;03.11.2014;91,66;21.04.2011;107,72;26.04.2010;99,52;04.05.2016;53,02;05.05.2015;67,72;05.05.2014;80,87;01.05.2013;82,21
23.10.2008;83,8;04.11.2014;91,51;25.04.2011;107,61;27.04.2010;98,94;05.05.2016;53,65;06.05.2015;68,08;06.05.2014;80,77;02.05.2013;83,73
24.10.2008;80,87;05.11.2014;91,09;26.04.2011;108,09;28.04.2010;99;06.05.2016;54,29;07.05.2015;67,82;07.05.2014;81,24;03.05.2013;83,57
27.10.2008;80,07;06.11.2014;91,75;27.04.2011;108,88;29.04.2010;99,29;09.05.2016;54,04;08.05.2015;68,27;08.05.2014;81,17;06.05.2013;83,71
28.10.2008;78,45;07.11.2014;91,27;28.04.2011;108,18;30.04.2010;100,08;10.05.2016;54,64;11.05.2015;68,34;09.05.2014;80,92;07.05.2013;83,81
29.10.2008;83,47;10.11.2014;90,88;29.04.2011;108,64;03.05.2010;102,27;11.05.2016;54,86;12.05.2015;68,19;12.05.2014;80,96;08.05.2013;83,9
30.10.2008;83,61;11.11.2014;91,15;02.05.2011;108,32;04.05.2010;100,37;12.05.2016;54,53;13.05.2015;68,14;13.05.2014;81,19;09.05.2013;83,31
31.10.2008;85,82;12.11.2014;90,82;03.05.2011;107,15;05.05.2010;99,13;13.05.2016;53,38;14.05.2015;68,61;14.05.2014;81,11;10.05.2013;83,38
03.11.2008;82,89;13.11.2014;89,93;04.05.2011;106,22;06.05.2010;97,86;16.05.2016;53,65;15.05.2015;68,6;15.05.2014;81,24;13.05.2013;83,22
04.11.2008;89,79;14.11.2014;90,71;05.05.2011;98,11;07.05.2010;97,33;17.05.2016;54,31;18.05.2015;68,22;16.05.2014;81,56;14.05.2013;82,98
05.11.2008;85,57;17.11.2014;90,41;06.05.2011;95,6;10.05.2010;98,93;18.05.2016;54,67;19.05.2015;67,6;19.05.2014;81,48;15.05.2013;83,39
06.11.2008;82,28;18.11.2014;89,88;09.05.2011;100,31;11.05.2010;99,19;19.05.2016;55,09;20.05.2015;68;20.05.2014;81,77;16.05.2013;83,47
07.11.2008;82;19.11.2014;89,62;10.05.2011;100,91;12.05.2010;99,8;20.05.2016;54,77;21.05.2015;67,99;21.05.2014;81,78;17.05.2013;83,41
10.11.2008;81,95;20.11.2014;89,57;11.05.2011;96,91;13.05.2010;98,63;23.05.2016;55,23;22.05.2015;67,47;22.05.2014;82,07;20.05.2013;83,43
11.11.2008;79,53;21.11.2014;90,73;12.05.2011;97,77;14.05.2010;96,18;24.05.2016;55,51;26.05.2015;67,67;23.05.2014;82,31;21.05.2013;83,56
12.11.2008;77,51;24.11.2014;90,12;13.05.2011;98,51;17.05.2010;93,41;25.05.2016;55,89;27.05.2015;67,3;27.05.2014;82,28;22.05.2013;83,44
13.11.2008;79,51;25.11.2014;89,71;16.05.2011;97,24;18.05.2010;93,67;26.05.2016;56,02;28.05.2015;67,26;28.05.2014;82,74;23.05.2013;82,96
14.11.2008;78,37;26.11.2014;89,25;17.05.2011;97,32;19.05.2010;92,75;27.05.2016;56,34;29.05.2015;67,52;29.05.2014;82,58;24.05.2013;82,78
17.11.2008;76,83;27.11.2014;87,15;18.05.2011;98,84;20.05.2010;90,78;31.05.2016;56,42;01.06.2015;67,08;30.05.2014;82,85;28.05.2013;82,64
18.11.2008;75,93;28.11.2014;86,82;19.05.2011;98,31;21.05.2010;91,47;01.06.2016;56,2;02.06.2015;68,2;02.06.2014;83,04;29.05.2013;81,87
19.11.2008;76,06;01.12.2014;88,64;20.05.2011;100,23;24.05.2010;91,38;02.06.2016;56,41;03.06.2015;67,78;03.06.2014;83,18;30.05.2013;82,06
20.11.2008;73,91;02.12.2014;87,22;23.05.2011;99,76;25.05.2010;90,35;03.06.2016;55,83;04.06.2015;67,23;04.06.2014;83,05;31.05.2013;81,93
21.11.2008;74,73;03.12.2014;86,74;24.05.2011;101,91;26.05.2010;91,75;06.06.2016;56,11;05.06.2015;68,55;05.06.2014;83,71;03.06.2013;82,79
24.11.2008;78,52;04.12.2014;85,29;25.05.2011;104,22;27.05.2010;94,62;07.06.2016;56,39;08.06.2015;67,92;06.06.2014;83,75;04.06.2013;82,33
25.11.2008;76,73;05.12.2014;84,32;26.05.2011;104,08;28.05.2010;94,34;08.06.2016;56,45;09.06.2015;68,4;09.06.2014;83,99;05.06.2013;82,37
26.11.2008;79,08;08.12.2014;82,01;27.05.2011;104,3;31.05.2010;94,76;09.06.2016;55,99;10.06.2015;68,78;10.06.2014;84,1;06.06.2013;82,84
27.11.2008;78,59;09.12.2014;81,84;30.05.2011;104,03;01.06.2010;93,68;10.06.2016;55,43;11.06.2015;68,35;11.06.2014;84,36;07.06.2013;82,48
28.11.2008;78,77;10.12.2014;80,05;31.05.2011;104,83;02.06.2010;95,12;13.06.2016;55,4;12.06.2015;67,46;12.06.2014;84,3;10.06.2013;82,85
01.12.2008;75,13;11.12.2014;79,72;01.06.2011;103,11;03.06.2010;96,24;14.06.2016;54,92;15.06.2015;67,92;13.06.2014;84,56;11.06.2013;82,52
02.12.2008;74,07;12.12.2014;78,08;02.06.2011;104,06;04.06.2010;94;15.06.2016;54,52;16.06.2015;68,23;16.06.2014;85,38;12.06.2013;82,8
03.12.2008;74,29;15.12.2014;76,68;03.06.2011;104,5;07.06.2010;95;16.06.2016;53,28;17.06.2015;68,22;17.06.2014;86,09;13.06.2013;82,55
04.12.2008;72,88;16.12.2014;74,66;06.06.2011;103,88;08.06.2010;95,01;17.06.2016;54,61;18.06.2015;68,5;18.06.2014;86,39;14.06.2013;82,29
05.12.2008;69,29;17.12.2014;75,19;07.06.2011;105,88;09.06.2010;95,45;20.06.2016;55,46;19.06.2015;67,79;19.06.2014;86,88;17.06.2013;82,33
08.12.2008;71,14;18.12.2014;75,17;08.06.2011;106,61;10.06.2010;96,13;21.06.2016;55,32;22.06.2015;68,6;20.06.2014;86,75;18.06.2013;82,03
09.12.2008;68,05;19.12.2014;77,96;09.06.2011;104,99;11.06.2010;95,62;22.06.2016;55,39;23.06.2015;68,05;23.06.2014;87,1;19.06.2013;81,62
10.12.2008;66,75;22.12.2014;78,01;10.06.2011;104,76;14.06.2010;95,91;23.06.2016;55,9;24.06.2015;67,61;24.06.2014;87,09;20.06.2013;79,75
11.12.2008;70,34;23.12.2014;79,5;13.06.2011;104,53;15.06.2010;95,58;24.06.2016;54,08;25.06.2015;67,43;25.06.2014;87,64;21.06.2013;78,76
12.12.2008;70,58;24.12.2014;79,63;14.06.2011;104,07;16.06.2010;96,12;27.06.2016;53,91;26.06.2015;67,61;26.06.2014;87,47;24.06.2013;79,63
15.12.2008;69,03;26.12.2014;79,19;15.06.2011;99,02;17.06.2010;96,26;28.06.2016;55,54;29.06.2015;67,12;27.06.2014;87,71;25.06.2013;80,37
16.12.2008;67,57;29.12.2014;78,64;16.06.2011;99,52;18.06.2010;95,76;29.06.2016;57,23;30.06.2015;67,25;30.06.2014;87,76;26.06.2013;80,4
17.12.2008;67,57;30.12.2014;78,82;17.06.2011;99,45;21.06.2010;95,92;30.06.2016;56,15;01.07.2015;66,85;01.07.2014;88,57;27.06.2013;80,17
18.12.2008;65,78;31.12.2014;78,83;20.06.2011;100,53;22.06.2010;95,83;01.07.2016;57,48;02.07.2015;66,76;02.07.2014;88,6;28.06.2013;79,53
19.12.2008;66,03;02.01.2015;78,23;21.06.2011;99,72;23.06.2010;94,64;05.07.2016;56,41;06.07.2015;64,03;03.07.2014;88,75;01.07.2013;78,83
22.12.2008;63,64;05.01.2015;77,39;22.06.2011;101,33;24.06.2010;94,27;06.07.2016;57,51;07.07.2015;64,18;07.07.2014;89,11;02.07.2013;79,33
23.12.2008;63;06.01.2015;75,7;23.06.2011;98,87;25.06.2010;94,92;07.07.2016;56,08;08.07.2015;64,44;08.07.2014;88,73;03.07.2013;79,61
