"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1966-Q1","Q1-1966","IDX","Index","0","Units","2010_100","2010=100",21.8743055979061,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1966-Q2","Q2-1966","IDX","Index","0","Units","2010_100","2010=100",22.174041961689,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1966-Q3","Q3-1966","IDX","Index","0","Units","2010_100","2010=100",22.8012732486697,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1966-Q4","Q4-1966","IDX","Index","0","Units","2010_100","2010=100",22.9501600673496,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1967-Q1","Q1-1967","IDX","Index","0","Units","2010_100","2010=100",23.8460044848299,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1967-Q2","Q2-1967","IDX","Index","0","Units","2010_100","2010=100",23.8123577461452,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1967-Q3","Q3-1967","IDX","Index","0","Units","2010_100","2010=100",24.2601397601408,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1967-Q4","Q4-1967","IDX","Index","0","Units","2010_100","2010=100",24.4704318769202,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1968-Q1","Q1-1968","IDX","Index","0","Units","2010_100","2010=100",24.2525692439368,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1968-Q2","Q2-1968","IDX","Index","0","Units","2010_100","2010=100",25.1859858529483,,
