Bloomberg Index;;Precious;;Industrial;;Energy;;S&P Index;;Precious;;Industrial;;Crude Oil;;Natural Gas;;Agriculture;;Agriculture + Livestock;;Livestock;;Energy;;Copper;;Aluminium;;Gold;
Date;BCOM Index;Date;BCOMPR Index;Date;BCOMIN Index;Date;BCOMEN Index;Date;SPGSCI Index;Date;SPGSPM Index;Date;SPGSIN Index;Date;SPGSCL Index;Date;SPGSNG Index;Date;SPGSAG Index;Date;SPGSAL Index;Date;SPGSLV Index;Date;SPGSEN Index;Date;SPGSIC Index;Date;SPGSIA Index;Date;SPGSGC Index
31.12.1999;92,2732;31.12.1999;61,9262;31.12.1999;81,3074;31.12.1999;102,17;29.12.1978;193,07;31.12.1981;533,715;31.12.1985;100,55;29.12.1995;107,15;31.12.2002;224,23;29.12.1978;203,5369;29.12.1978;183,4419;29.12.1978;176,174;31.12.1991;65,9133;31.12.1985;100,55;31.12.1999;104,65;31.12.1986;236,9003
31.01.2000;96,8149;31.01.2000;60,7091;31.01.2000;81,2164;31.01.2000;115,1918;31.01.1979;204,26;29.01.1982;521,373;31.01.1986;102,98;31.01.1996;97,23;31.01.2003;262,43;31.01.1979;203,9377;31.01.1979;190,7432;31.01.1979;193,0929;31.01.1992;67,62;31.01.1986;102,98;31.01.2000;109,26;30.01.1987;238,0647
29.02.2000;98,0632;29.02.2000;61,146;29.02.2000;77,4119;29.02.2000;126,9063;28.02.1979;214,67;26.02.1982;487,487;28.02.1986;101,57;29.02.1996;107,09;28.02.2003;379,3;28.02.1979;210,9061;28.02.1979;198,5197;28.02.1979;202,7161;28.02.1992;67,5578;28.02.1986;101,57;29.02.2000;100,78;27.02.1987;237,1914
31.03.2000;98,5238;31.03.2000;58,6439;31.03.2000;77,7022;31.03.2000;122,7391;30.03.1979;209,32;31.03.1982;446,448;31.03.1986;103,68;29.03.1996;117,67;31.03.2003;236,91;30.03.1979;205,4574;30.03.1979;193,216;30.03.1979;197,0583;31.03.1992;69,4162;31.03.1986;103,68;31.03.2000;98,14;31.03.1987;246,0992
28.04.2000;96,8817;28.04.2000;57,4137;28.04.2000;76,1786;28.04.2000;123,0272;30.04.1979;219,97;30.04.1982;457,972;30.04.1986;98,2;30.04.1996;116,19;30.04.2003;252,13;30.04.1979;209,1279;30.04.1979;201,794;30.04.1979;212,8974;30.04.1992;74,2346;30.04.1986;98,2;28.04.2000;94,05;30.04.1987;265,7778
31.05.2000;102,8426;31.05.2000;56,8588;31.05.2000;75,2397;31.05.2000;148,4157;31.05.1979;206,05;31.05.1982;431,024;30.05.1986;98,9;31.05.1996;108,3;30.05.2003;292,68;31.05.1979;212,5455;31.05.1979;193,3214;31.05.1979;188,0919;29.05.1992;78,0845;30.05.1986;98,9;31.05.2000;93,05;29.05.1987;265,4867
30.06.2000;104,7638;30.06.2000;59,5463;30.06.2000;76,2545;30.06.2000;163,5188;29.06.1979;206,06;30.06.1982;417,168;30.06.1986;94,59;28.06.1996;114,66;30.06.2003;253,35;29.06.1979;238,092;29.06.1979;200,0399;29.06.1979;171,0078;30.06.1992;75,2657;30.06.1986;94,59;30.06.2000;99,9;30.06.1987;263,2743
31.07.2000;99,0044;31.07.2000;57,3111;31.07.2000;77,8263;31.07.2000;143,6733;31.07.1979;192,45;30.07.1982;465,102;31.07.1986;91,69;31.07.1996;111,91;31.07.2003;220,9;31.07.1979;228,1606;31.07.1979;187,3002;31.07.1979;153,3121;31.07.1992;75,7142;31.07.1986;91,69;31.07.2000;99,39;31.07.1987;276,6069
31.08.2000;108,1696;31.08.2000;56,9715;31.08.2000;79,8526;31.08.2000;177,4863;31.08.1979;213,78;31.08.1982;548,614;29.08.1986;91,61;30.08.1996;121,94;29.08.2003;221,51;31.08.1979;243,8862;31.08.1979;205,257;31.08.1979;176,0077;31.08.1992;75,1293;29.08.1986;91,61;31.08.2000;100,66;31.08.1987;267,0587
29.09.2000;106,975;29.09.2000;55,9082;29.09.2000;80,5328;29.09.2000;174,5285;28.09.1979;224,45;30.09.1982;535,428;30.09.1986;95,92;30.09.1996;133,62;30.09.2003;226,14;28.09.1979;246,4832;28.09.1979;210,2774;28.09.1979;184,6941;30.09.1992;75,1223;30.09.1986;95,92;29.09.2000;101,22;30.09.1987;267,1169
31.10.2000;103,8204;31.10.2000;53,846;31.10.2000;74,2191;31.10.2000;171,0312;31.10.1979;215,27;29.10.1982;574,751;31.10.1986;92,16;31.10.1996;127,97;31.10.2003;229,09;31.10.1979;242,9572;31.10.1979;204,4073;31.10.1979;175,1745;30.10.1992;72,1392;31.10.1986;92,16;31.10.2000;94,58;30.10.1987;274,3363
30.11.2000;111,5902;30.11.2000;54,165;30.11.2000;74,2632;30.11.2000;200,4858;30.11.1979;236,13;30.11.1982;606,16;28.11.1986;95,69;29.11.1996;130,17;28.11.2003;230,59;30.11.1979;266,0574;30.11.1979;223,5993;30.11.1979;191,2459;30.11.1992;68,7016;28.11.1986;95,69;30.11.2000;96,33;30.11.1987;289,4737
29.12.2000;114,6134;29.12.2000;53,8082;29.12.2000;74,54;29.12.2000;212,143;31.12.1979;237,81;31.12.1982;618,548;31.12.1986;95,85;31.12.1996;142,06;31.12.2003;289,77;31.12.1979;264,8878;31.12.1979;221,1313;31.12.1979;186,8368;31.12.1992;68,774;31.12.1986;95,85;29.12.2000;99,71;31.12.1987;284,6414
31.01.2001;111,3745;31.01.2001;53,2811;31.01.2001;75,9267;31.01.2001;199,2194;31.01.1980;250,85;31.01.1983;722,996;30.01.1987;94,67;31.01.1997;132,36;30.01.2004;252,69;31.01.1980;287,7099;31.01.1980;231,0099;31.01.1980;180,4838;29.01.1993;70,6769;30.01.1987;94,67;31.01.2001;104,11;29.01.1988;266,9422
28.02.2001;110,4787;28.02.2001;52,1136;28.02.2001;73,2996;28.02.2001;196,6439;29.02.1980;247,85;28.02.1983;593,705;27.02.1987;99,37;28.02.1997;111,26;27.02.2004;253,58;29.02.1980;292,0078;29.02.1980;231,5961;29.02.1980;176,1744;26.02.1993;72,2141;27.02.1987;99,37;28.02.2001;99,55;29.02.1988;251,4555
30.03.2001;105,3717;30.03.2001;49,9588;30.03.2001;68,9111;30.03.2001;193,3921;31.03.1980;216,22;31.03.1983;580,418;31.03.1987;97,88;31.03.1997;111,86;31.03.2004;277,79;31.03.1980;255,1922;31.03.1980;206,3286;31.03.1980;163,5775;31.03.1993;72,0014;31.03.1987;97,88;30.03.2001;94,61;31.03.1988;266,5929
30.04.2001;108,7085;30.04.2001;50,753;30.04.2001;70,9887;30.04.2001;209,145;30.04.1980;224,53;29.04.1983;608,408;30.04.1987;97,41;30.04.1997;110,76;30.04.2004;274,46;30.04.1980;276,1452;30.04.1980;218,7764;30.04.1980;166,0199;30.04.1993;72,3169;30.04.1987;97,41;30.04.2001;98,95;29.04.1988;263,5072
31.05.2001;106,0908;31.05.2001;51,1327;31.05.2001;69,8542;31.05.2001;200,8408;30.05.1980;237,91;31.05.1983;600,408;29.05.1987;103,29;30.05.1997;114,44;31.05.2004;301,62;30.05.1980;304,9184;30.05.1980;235,0788;30.05.1980;167,4393;31.05.1993;69,9534;29.05.1987;103,29;31.05.2001;95,32;31.05.1988;267,6991
29.06.2001;101,5707;29.06.2001;51,3482;29.06.2001;65,5896;29.06.2001;176,5319;30.06.1980;254,04;30.06.1983;586,782;30.06.1987;111,99;30.06.1997;108,52;30.06.2004;288,18;30.06.1980;319,5457;30.06.1980;248,7205;30.06.1980;181,2545;30.06.1993;66,2336;30.06.1987;111,99;29.06.2001;93;30.06.1988;254,8323
31.07.2001;102,5699;31.07.2001;50,4072;31.07.2001;62,4965;31.07.2001;177,6523;31.07.1980;261,69;29.07.1983;598,243;31.07.1987;122,49;31.07.1997;110,38;30.07.2004;286,17;31.07.1980;327,675;31.07.1980;256,552;31.07.1980;189,5437;30.07.1993;63,2292;31.07.1987;122,49;31.07.2001;89,12;29.07.1988;260,4215
31.08.2001;102,2247;31.08.2001;51,2075;31.08.2001;61,4975;31.08.2001;184,4006;29.08.1980;265,92;31.08.1983;600,424;31.08.1987;117,71;29.08.1997;107,48;31.08.2004;237,57;29.08.1980;347,2062;29.08.1980;265,0148;29.08.1980;184,141;31.08.1993;64,9238;31.08.1987;117,71;31.08.2001;88,89;31.08.1988;256,1132
28.09.2001;95,1071;28.09.2001;55,0848;28.09.2001;57,6336;28.09.2001;157,5356;30.09.1980;284,71;30.09.1983;567,82;30.09.1987;125;30.09.1997;116,08;30.09.2004;318,15;30.09.1980;372,6035;30.09.1980;283,9933;30.09.1980;196,6158;30.09.1993;66,5425;30.09.1987;125;28.09.2001;84,4;30.09.1988;232,4173
31.10.2001;90,4071;31.10.2001;51,8012;31.10.2001;54,9045;31.10.2001;145,0308;31.10.1980;291,03;31.10.1983;510,634;30.10.1987;128,76;31.10.1997;115,53;29.10.2004;408,51;31.10.1980;393,7559;31.10.1980;295,2887;31.10.1980;195,9739;29.10.1993;60,4449;30.10.1987;128,76;31.10.2001;80,95;31.10.1988;241,6744
30.11.2001;90,9585;30.11.2001;50,6439;30.11.2001;62,6748;30.11.2001;129,8769;28.11.1980;293,99;30.11.1983;556,754;30.11.1987;160,19;28.11.1997;104,95;30.11.2004;356,77;28.11.1980;379,7573;28.11.1980;293,466;28.11.1980;210,2222;30.11.1993;54,9667;30.11.1987;160,19;30.11.2001;93,18;30.11.1988;250,1164
31.12.2001;89,0333;31.12.2001;52,5777;31.12.2001;58,5132;31.12.2001;128,7;31.12.1980;268,69;30.12.1983;526,243;31.12.1987;199,69;31.12.1997;96,68;31.12.2004;287,9;31.12.1980;349,1927;31.12.1980;268,8262;31.12.1980;190,8074;31.12.1993;51,1118;31.12.1987;199,69;31.12.2001;85,8;30.12.1988;240,0443
31.01.2002;88,3089;31.01.2002;51,8425;31.01.2002;61,8779;31.01.2002;123,0475;30.01.1981;252,19;31.01.1984;511,838;29.01.1988;150,08;30.01.1998;94,32;31.01.2005;295,95;30.01.1981;320,4259;30.01.1981;251,004;30.01.1981;186,5499;31.01.1994;58,7711;29.01.1988;150,08;31.01.2002;88,08;31.01.1989;230,4378
28.02.2002;90,4756;28.02.2002;54,6582;28.02.2002;61,6934;28.02.2002;132,5681;27.02.1981;245,21;29.02.1984;543,304;29.02.1988;135,27;27.02.1998;84,62;28.02.2005;315,1;27.02.1981;315,0168;27.02.1981;245,2231;27.02.1981;179,3876;28.02.1994;54,8984;29.02.1988;135,27;28.02.2002;88,77;28.02.1989;227,2939
29.03.2002;99,5878;29.03.2002;55,845;29.03.2002;64,0688;29.03.2002;164,9156;31.03.1981;249,03;30.03.1984;539,25;31.03.1988;165,05;31.03.1998;85,55;31.03.2005;358,32;31.03.1981;300,683;31.03.1981;243,0745;31.03.1981;194,6476;31.03.1994;54,6976;31.03.1988;165,05;29.03.2002;88,73;31.03.1989;227,061
30.04.2002;99,4308;30.04.2002;56,2207;30.04.2002;63,0161;30.04.2002;173,886;30.04.1981;244,83;30.04.1984;516,656;29.04.1988;140,6;30.04.1998;84,35;29.04.2005;308,32;30.04.1981;290,8329;30.04.1981;238,2214;30.04.1981;196,3562;29.04.1994;58,3478;29.04.1988;140,6;30.04.2002;88,23;28.04.1989;221,53
31.05.2002;97,7548;31.05.2002;60,0946;31.05.2002;63,1316;31.05.2002;156,925;29.05.1981;243,65;31.05.1984;532,873;31.05.1988;143,1;29.05.1998;83,31;31.05.2005;298,67;29.05.1981;282,0145;29.05.1981;235,1143;29.05.1981;201,1033;31.05.1994;60,3696;31.05.1988;143,1;31.05.2002;88,22;31.05.1989;213,3791
28.06.2002;99,5183;28.06.2002;57,6097;28.06.2002;63,651;28.06.2002;161,0252;30.06.1981;227,64;29.06.1984;506,632;30.06.1988;153,6;30.06.1998;77,72;30.06.2005;326,86;30.06.1981;258,5987;30.06.1981;218,8064;30.06.1981;192,7607;30.06.1994;63,6534;30.06.1988;153,6;28.06.2002;87,79;30.06.1989;219,667
31.07.2002;98,8263;31.07.2002;55,3407;31.07.2002;58,168;31.07.2002;157,236;31.07.1981;230,58;31.07.1984;459,788;29.07.1988;145,77;31.07.1998;77,88;29.07.2005;369,18;31.07.1981;271,7609;31.07.1981;224,1722;31.07.1981;187,5682;29.07.1994;64,6868;29.07.1988;145,77;31.07.2002;83,2;31.07.1989;220,4821
30.08.2002;102,5808;30.08.2002;56,0035;30.08.2002;58,3215;30.08.2002;171,0546;31.08.1981;223,07;31.08.1984;474,119;31.08.1988;158,31;31.08.1998;73,11;31.08.2005;537,13;31.08.1981;246,9668;31.08.1981;211,6985;31.08.1981;191,1985;31.08.1994;55,9841;31.08.1988;158,31;30.08.2002;82,8;31.08.1989;212,7387
30.09.2002;106,2943;30.09.2002;57,7647;30.09.2002;56,498;30.09.2002;184,7243;30.09.1981;222,98;28.09.1984;464,885;30.09.1988;171,79;30.09.1998;88,46;30.09.2005;651,79;30.09.1981;249,419;30.09.1981;212,7595;30.09.1981;190,3904;30.09.1994;57,3207;30.09.1988;171,79;30.09.2002;82,05;29.09.1989;216,5813
31.10.2002;105,0528;31.10.2002;56,7211;31.10.2002;60,6025;31.10.2002;170,3398;30.10.1981;221,34;31.10.1984;446,46;31.10.1988;221,24;30.10.1998;79,03;31.10.2005;571,45;30.10.1981;253,9217;30.10.1981;213,0265;30.10.1981;184,536;31.10.1994;61,9129;31.10.1988;221,24;31.10.2002;86,04;31.10.1989;219,8416
29.11.2002;105,2467;29.11.2002;56,2443;29.11.2002;62,1494;29.11.2002;169,5816;30.11.1981;215,42;30.11.1984;441,604;30.11.1988;208,46;30.11.1998;61,49;30.11.2005;589,33;30.11.1981;250,6313;30.11.1981;208,4182;30.11.1981;177,3409;30.11.1994;58,9559;30.11.1988;208,46;29.11.2002;88,76;30.11.1989;243,0717
31.12.2002;110,2756;31.12.2002;61,476;31.12.2002;59,2308;31.12.2002;196,3532;31.12.1981;201,65;31.12.1984;407,538;30.12.1988;212,38;31.12.1998;66,04;30.12.2005;525,56;31.12.1981;239,814;31.12.1981;195,8647;31.12.1981;160,4364;30.12.1994;58,9464;30.12.1988;212,38;31.12.2002;85,95;29.12.1989;235,9106
31.01.2003;118,6439;31.01.2003;64,2107;31.01.2003;64,8415;31.01.2003;223,2228;29.01.1982;213,57;31.01.1985;403,355;31.01.1989;223,98;29.01.1999;69,88;31.01.2006;436,18;29.01.1982;241,4957;29.01.1982;204,9806;29.01.1982;181,8991;31.01.1995;56,6017;31.01.1989;223,98;31.01.2003;89,89;31.01.1990;243,2464
28.02.2003;122,5258;28.02.2003;60,8537;28.02.2003;64,819;28.02.2003;255,5341;26.02.1982;208,82;28.02.1985;373,824;28.02.1989;205,64;26.02.1999;67,25;28.02.2006;314,36;26.02.1982;233,3808;26.02.1982;200,0782;26.02.1982;181,0263;28.02.1995;58,2416;28.02.1989;205,64;28.02.2003;90,4;28.02.1990;238,0647
31.03.2003;113,1709;31.03.2003;58,5717;31.03.2003;60,1536;31.03.2003;220,1076;31.03.1982;215,75;29.03.1985;433,55;31.03.1989;207,84;31.03.1999;91,86;31.03.2006;337,58;31.03.1982;229,2947;31.03.1982;204,6262;31.03.1982;199,1016;31.03.1995;60,685;31.03.1989;207,84;31.03.2003;85,55;30.03.1990;218,3279
30.04.2003;112,3595;30.04.2003;59,5026;30.04.2003;61,1306;30.04.2003;205,4413;30.04.1982;223,28;30.04.1985;409,724;28.04.1989;209,4;30.04.1999;102,27;28.04.2006;306,91;30.04.1982;229,823;30.04.1982;209,5153;30.04.1982;211,2175;28.04.1995;63,8535;28.04.1989;209,4;30.04.2003;87,17;30.04.1990;216,2319
30.05.2003;118,8213;30.05.2003;62,2883;30.05.2003;64,652;30.05.2003;233,8159;31.05.1982;217,65;31.05.1985;411,203;31.05.1989;179,23;31.05.1999;92,29;31.05.2006;298,9;31.05.1982;217,4745;31.05.1982;203,0727;31.05.1982;212,5736;31.05.1995;61,4828;31.05.1989;179,23;30.05.2003;91,86;31.05.1990;214,6018
30.06.2003;115,7878;30.06.2003;59,929;30.06.2003;62,0931;30.06.2003;230,3024;30.06.1982;209,55;28.06.1985;409,703;30.06.1989;162,85;30.06.1999;105,72;30.06.2006;285,79;30.06.1982;220,041;30.06.1982;198,5838;30.06.1982;196,9133;30.06.1995;56,4743;30.06.1989;162,85;30.06.2003;86,92;29.06.1990;209,5366
31.07.2003;116,3948;31.07.2003;62,8918;31.07.2003;67,6188;31.07.2003;223,9492;30.07.1982;207,14;31.07.1985;431,188;31.07.1989;174,76;30.07.1999;112,52;31.07.2006;384,45;30.07.1982;209,7578;30.07.1982;193,1917;30.07.1982;197,9714;31.07.1995;57,4583;31.07.1989;174,76;31.07.2003;93,34;31.07.1990;220,7732
29.08.2003;120,8984;29.08.2003;65,5176;29.08.2003;66,241;29.08.2003;231,4051;31.08.1982;207,22;30.08.1985;444,021;31.08.1989;202,12;31.08.1999;121,18;31.08.2006;283,17;31.08.1982;203,087;31.08.1982;190,1589;31.08.1982;199,8851;31.08.1995;59,2228;31.08.1989;202,12;29.08.2003;91,06;31.08.1990;226,5952
30.09.2003;120,8978;30.09.2003;66,722;30.09.2003;67,0162;30.09.2003;218,8155;30.09.1982;199,4;30.09.1985;424,12;29.09.1989;192,63;30.09.1999;134,33;29.09.2006;263,13;30.09.1982;196,115;30.09.1982;183,2416;30.09.1982;191,9961;29.09.1995;58,2337;29.09.1989;192,63;30.09.2003;90,08;28.09.1990;237,599
31.10.2003;126,5708;31.10.2003;66,2611;31.10.2003;75,1478;31.10.2003;217,2699;29.10.1982;197,21;31.10.1985;427,15;31.10.1989;178,68;29.10.1999;119,2;31.10.2006;352,75;29.10.1982;195,9566;29.10.1982;180,6589;29.10.1982;185,4164;31.10.1995;59,2527;31.10.1989;178,68;31.10.2003;96,61;31.10.1990;221,9958
28.11.2003;126,0868;28.11.2003;68,8663;28.11.2003;73,9142;28.11.2003;222,134;30.11.1982;205,05;29.11.1985;431,909;30.11.1989;171,32;30.11.1999;134,77;30.11.2006;414,08;30.11.1982;209,2038;30.11.1982;189,3023;30.11.1982;188,5316;30.11.1995;62,1052;30.11.1989;171,32;28.11.2003;98,22;30.11.1990;224,5575
31.12.2003;135,2686;31.12.2003;73,191;31.12.2003;84,1474;31.12.2003;255,9819;31.12.1982;201,46;31.12.1985;432,862;29.12.1989;168,16;31.12.1999;140,3;29.12.2006;294,92;31.12.1982;201,7647;31.12.1982;184,3955;31.12.1982;186,6423;29.12.1995;71,3137;29.12.1989;168,16;31.12.2003;101,49;31.12.1990;230,6707
30.01.2004;137,6197;30.01.2004;72,3926;30.01.2004;86,827;30.01.2004;251,9482;31.01.1983;199,05;31.01.1986;460,015;31.01.1990;155,83;31.01.2000;151,49;31.01.2007;358,98;31.01.1983;206,9787;31.01.1983;187,2716;31.01.1983;186,4898;31.01.1996;66,9545;31.01.1990;155,83;30.01.2004;104,91;31.01.1991;214,5435
27.02.2004;146,4448;27.02.2004;73,0381;27.02.2004;94,0504;27.02.2004;271,7681;28.02.1983;195,05;28.02.1986;449,704;28.02.1990;171,09;29.02.2000;166,78;28.02.2007;341,79;28.02.1983;205,461;28.02.1983;187,5712;28.02.1983;189,533;29.02.1996;67,6496;28.02.1990;171,09;27.02.2004;109,18;28.02.1991;214,8347
31.03.2004;150,8372;31.03.2004;80,9263;31.03.2004;93,6329;31.03.2004;280,7751;31.03.1983;207,59;31.03.1986;439,315;30.03.1990;193,45;31.03.2000;147,43;30.03.2007;361,93;31.03.1983;226,0423;31.03.1983;202,9342;31.03.1983;199,4849;29.03.1996;72,3346;30.03.1990;193,45;31.03.2004;109,42;29.03.1991;209,2455
30.04.2004;148,0462;30.04.2004;69,6594;30.04.2004;85,5624;30.04.2004;292,8242;29.04.1983;209,18;30.04.1986;454,895;30.04.1990;172,11;28.04.2000;141,07;30.04.2007;368,15;29.04.1983;229,0988;29.04.1983;200,7494;29.04.1983;189,1866;30.04.1996;71,7749;30.04.1990;172,11;30.04.2004;105,77;30.04.1991;208,2557
31.05.2004;150,4365;31.05.2004;70,5455;31.05.2004;89,2305;31.05.2004;314,5057;31.05.1983;206,91;30.05.1986;455,172;31.05.1990;175,2;31.05.2000;158,99;31.05.2007;371,52;31.05.1983;238,0455;31.05.1983;202,1372;31.05.1983;179,5635;31.05.1996;68,2647;31.05.1990;175,2;31.05.2004;107,52;31.05.1991;212,3894
30.06.2004;144,0336;30.06.2004;69,2349;30.06.2004;88,825;30.06.2004;296,6437;30.06.1983;207,43;30.06.1986;456,678;29.06.1990;180,17;30.06.2000;178,12;29.06.2007;317,12;30.06.1983;236,0654;30.06.1983;199,1895;30.06.1983;174,731;28.06.1996;74,8174;29.06.1990;180,17;30.06.2004;109,66;28.06.1991;215,4169
30.07.2004;146,4138;30.07.2004;71,4102;30.07.2004;90,4798;30.07.2004;329,5241;29.07.1983;209,76;31.07.1986;482,852;31.07.1990;196,93;31.07.2000;150,33;31.07.2007;289,87;29.07.1983;248,224;29.07.1983;202,69;29.07.1983;165,91;31.07.1996;68,5523;31.07.1990;196,93;30.07.2004;108,01;31.07.1991;215,8826
31.08.2004;143,5561;31.08.2004;74,5008;31.08.2004;88,1709;31.08.2004;304,9127;31.08.1983;214,17;29.08.1986;532,175;31.08.1990;197,24;31.08.2000;181,52;31.08.2007;256,02;31.08.1983;268,3689;31.08.1983;212,5919;31.08.1983;162,1106;30.08.1996;69,8946;31.08.1990;197,24;31.08.2004;107,56;30.08.1991;205,4611
30.09.2004;153,1752;30.09.2004;75,9266;30.09.2004;98,7588;30.09.2004;361,8528;30.09.1983;208,97;30.09.1986;560,01;28.09.1990;187,76;29.09.2000;169,02;28.09.2007;321,66;30.09.1983;257,4987;30.09.1983;208,4544;30.09.1983;167,3394;30.09.1996;77,2125;28.09.1990;187,76;30.09.2004;117,91;30.09.1991;208,0228
29.10.2004;155,5494;29.10.2004;78,2431;29.10.2004;94,4712;29.10.2004;388,7701;31.10.1983;205,96;31.10.1986;539,645;31.10.1990;182,94;31.10.2000;179,22;31.10.2007;390,02;31.10.1983;248,4361;31.10.1983;203,8099;31.10.1983;168,5479;31.10.1996;79,9962;31.10.1990;182,94;29.10.2004;116,23;31.10.1991;209,3037
30.11.2004;153,406;30.11.2004;82,374;30.11.2004;99,1007;30.11.2004;353,1159;30.11.1983;207,91;28.11.1986;512,273;30.11.1990;169,27;30.11.2000;185,36;30.11.2007;341,89;30.11.1983;247,5175;30.11.1983;207,8777;30.11.1983;180,637;29.11.1996;88,1699;30.11.1990;169,27;30.11.2004;117,02;29.11.1991;216,0573
31.12.2004;145,6045;31.12.2004;77,5249;31.12.2004;103,9563;31.12.2004;300,7146;30.12.1983;216,14;31.12.1986;523,706;31.12.1990;184,68;29.12.2000;146,88;31.12.2007;350,36;30.12.1983;244,4778;30.12.1983;211,6595;30.12.1983;195,1211;31.12.1996;85,8561;31.12.1990;184,68;31.12.2004;124,94;31.12.1991;206,8002
31.01.2005;146,8208;31.01.2005;75,0905;31.01.2005;101,0201;31.01.2005;326,4827;31.01.1984;211,53;30.01.1987;534,466;31.01.1991;170,62;31.01.2001;157,08;31.01.2008;378,03;31.01.1984;230,282;31.01.1984;200,0019;31.01.1984;185,3757;31.01.1997;78,7554;31.01.1991;166,77;31.01.2005;118,67;31.01.1992;208,9544
28.02.2005;156,8857;28.02.2005;78,6066;28.02.2005;106,8353;28.02.2005;343,695;29.02.1984;207,32;27.02.1987;532,371;28.02.1991;178,95;28.02.2001;150,12;29.02.2008;438,52;29.02.1984;230,9339;29.02.1984;202,4787;29.02.1984;191,0492;28.02.1997;65,3586;28.02.1991;174,76;28.02.2005;122,42;28.02.1992;206,1598
31.03.2005;162,0939;31.03.2005;76,8083;31.03.2005;107,8665;31.03.2005;379,7654;30.03.1984;217,18;31.03.1987;559,812;29.03.1991;168,6;30.03.2001;144,09;31.03.2008;472,94;30.03.1984;247,6076;30.03.1984;216,7672;30.03.1984;203,9519;31.03.1997;66,7254;29.03.1991;166,46;31.03.2005;126,05;31.03.1992;201,1528
29.04.2005;152,2941;29.04.2005;76,6462;29.04.2005;102,8708;29.04.2005;331,515;30.04.1984;210,72;30.04.1987;617,518;30.04.1991;162,75;30.04.2001;155,98;30.04.2008;507,68;30.04.1984;237,2739;30.04.1984;208,2979;30.04.1984;196,996;30.04.1997;68,5657;30.04.1991;164,73;29.04.2005;115,96;30.04.1992;196,728
31.05.2005;150,7271;31.05.2005;75,5186;31.05.2005;101,4086;31.05.2005;326,2363;31.05.1984;214,5;29.05.1987;608,377;31.05.1991;150,19;31.05.2001;155,49;30.05.2008;547,94;31.05.1984;243,3629;31.05.1984;210,3993;31.05.1984;193,3093;30.05.1997;70,1348;31.05.1991;151,8;31.05.2005;110,63;29.05.1992;197,0191
30.06.2005;152,8846;30.06.2005;76,686;30.06.2005;100,7378;30.06.2005;352,8817;29.06.1984;208;30.06.1987;599,306;28.06.1991;156,73;29.06.2001;143,87;30.06.2008;625,2;29.06.1984;229,032;29.06.1984;203,4279;29.06.1984;196,5276;30.06.1997;66,5063;28.06.1991;156,97;30.06.2005;109,03;30.06.1992;200,5123
29.07.2005;159,3296;29.07.2005;76,2668;29.07.2005;106,759;29.07.2005;380,1898;31.07.1984;190,95;31.07.1987;640,198;31.07.1991;154,34;31.07.2001;144,42;31.07.2008;426,96;31.07.1984;210,5647;31.07.1984;186,2098;31.07.1984;178,4842;31.07.1997;68,7711;31.07.1991;158,78;29.07.2005;117,7;31.07.1992;210,4099
31.08.2005;170,8165;31.08.2005;75,217;31.08.2005;108,7282;31.08.2005;475,5177;31.08.1984;198,64;31.08.1987;612,646;30.08.1991;153,74;31.08.2001;149,07;29.08.2008;371,9;31.08.1984;211,8083;31.08.1984;188,2771;31.08.1984;182,1455;29.08.1997;71,6509;30.08.1991;161,68;31.08.2005;117,26;31.08.1992;201,0363
30.09.2005;178,2486;30.09.2005;81,4295;30.09.2005;110,3877;30.09.2005;508,749;28.09.1984;199,16;30.09.1987;609,715;30.09.1991;148,78;28.09.2001;128,41;30.09.2008;348,25;28.09.1984;207,899;28.09.1984;185,1188;28.09.1984;179,6371;30.09.1997;77,7059;30.09.1991;164,26;30.09.2005;117,27;30.09.1992;203,4234
31.10.2005;166,5165;31.10.2005;80,9287;31.10.2005;115,2919;31.10.2005;436,8217;31.10.1984;199,33;30.10.1987;609,617;31.10.1991;149,82;31.10.2001;116,08;31.10.2008;317,59;31.10.1984;214,6124;31.10.1984;190,6182;31.10.1984;184,1487;31.10.1997;81,4591;31.10.1991;167,08;31.10.2005;126,34;30.10.1992;198,0089
30.11.2005;166,4017;30.11.2005;86,4721;30.11.2005;125,6001;30.11.2005;420,955;30.11.1984;200,6;30.11.1987;634,686;29.11.1991;147,17;30.11.2001;106,54;28.11.2008;304,8;30.11.1984;210,0394;30.11.1984;192,724;30.11.1984;196,8455;28.11.1997;69,2515;29.11.1991;158,31;30.11.2005;136,35;30.11.1992;195,3307
30.12.2005;171,1493;30.12.2005;90,4329;30.12.2005;134,3885;30.12.2005;414,0502;31.12.1984;195,53;31.12.1987;620,864;31.12.1991;145,78;31.12.2001;108,74;31.12.2008;263,23;31.12.1984;204,172;31.12.1984;189,1402;31.12.1984;196,1972;31.12.1997;63,023;31.12.1991;152,9;30.12.2005;145,27;31.12.1992;193,9334
31.01.2006;173,6687;31.01.2006;99,6083;31.01.2006;149,5554;31.01.2006;397,8235;31.01.1985;193,78;29.01.1988;581,189;31.01.1992;151;31.01.2002;106,76;30.01.2009;206,81;31.01.1985;207,2939;31.01.1985;189,2029;31.01.1985;191,5551;30.01.1998;61,7126;31.01.1992;154,55;31.01.2006;159,52;29.01.1993;192,5361
