TIME;Value
Apr-2002;6,3
Mai-2002;6,4
Jun-2002;6,5
Jul-2002;6,2
Aug-2002;6,3
Sep-2002;6,3
Okt-2002;6,1
Nov-2002;6,2
Dez-2002;6,2
Jän-2003;6,1
Feb-2003;6,0
Mär-2003;6,1
Apr-2003;6,0
Mai-2003;6,1
Jun-2003;6,1
Jul-2003;6,1
Aug-2003;5,8
Sep-2003;5,8
Okt-2003;5,8
Nov-2003;5,7
Dez-2003;5,7
Jän-2004;5,5
Feb-2004;5,6
Mär-2004;5,4
Apr-2004;5,5
Mai-2004;5,3
Jun-2004;5,5
Jul-2004;5,5
Aug-2004;5,5
Sep-2004;5,4
Okt-2004;5,1
Nov-2004;5,2
Dez-2004;5,1
Jän-2005;5,1
Feb-2005;5,1
Mär-2005;5,2
Apr-2005;5,1
Mai-2005;5,1
Jun-2005;4,9
Jul-2005;5,0
Aug-2005;4,9
Sep-2005;5,0
Okt-2005;5,0
Nov-2005;4,9
Dez-2005;5,1
Jän-2006;5,2
Feb-2006;5,1
Mär-2006;4,9
Apr-2006;5,0
Mai-2006;4,8
Jun-2006;4,8
Jul-2006;4,7
Aug-2006;4,7
Sep-2006;4,7
Okt-2006;4,5
Nov-2006;4,5
Dez-2006;4,6
Jän-2007;4,6
Feb-2007;4,6
Mär-2007;4,5
Apr-2007;4,4
Mai-2007;4,3
Jun-2007;4,3
Jul-2007;4,3
Aug-2007;4,3
Sep-2007;4,2
Okt-2007;4,3
Nov-2007;4,4
Dez-2007;4,3
Jän-2008;4,2
Feb-2008;4,0
Mär-2008;4,1
Apr-2008;4,3
Mai-2008;4,3
Jun-2008;4,2
Jul-2008;4,2
Aug-2008;4,0
Sep-2008;4,3
Okt-2008;4,3
Nov-2008;4,5
Dez-2008;4,6
Jän-2009;4,9
Feb-2009;5,3
Mär-2009;5,7
Apr-2009;5,5
Mai-2009;5,8
Jun-2009;5,9
Jul-2009;5,7
Aug-2009;5,7
Sep-2009;5,7
Okt-2009;5,6
Nov-2009;5,6
Dez-2009;5,5
Jän-2010;5,3
Feb-2010;5,3
Mär-2010;5,4
Apr-2010;5,5
Mai-2010;5,2
Jun-2010;5,1
Jul-2010;5,3
Aug-2010;5,0
Sep-2010;5,1
Okt-2010;5,3
Nov-2010;5,1
Dez-2010;4,9
Jän-2011;5,0
Feb-2011;5,0
Mär-2011;4,9
Apr-2011;5,0
Mai-2011;5,0
Jun-2011;4,9
Jul-2011;5,1
Aug-2011;5,3
Sep-2011;5,2
Okt-2011;5,2
Nov-2011;5,2
Dez-2011;5,2
Jän-2012;5,0
Feb-2012;5,2
Mär-2012;5,2
Apr-2012;5,0
Mai-2012;5,2
Jun-2012;5,2
Jul-2012;5,2
Aug-2012;5,1
Sep-2012;5,5
Okt-2012;5,4
Nov-2012;5,3
Dez-2012;5,4
Jän-2013;5,4
Feb-2013;5,4
Mär-2013;5,6
Apr-2013;5,6
Mai-2013;5,6
Jun-2013;5,7
Jul-2013;5,6
Aug-2013;5,8
Sep-2013;5,7
Okt-2013;5,8
Nov-2013;5,8
Dez-2013;5,9
Jän-2014;5,9
Feb-2014;5,9
Mär-2014;5,9
Apr-2014;5,8
Mai-2014;5,9
Jun-2014;6,1
Jul-2014;6,2
Aug-2014;6,1
Sep-2014;6,2
Okt-2014;6,4
Nov-2014;6,3
Dez-2014;6,1
Jän-2015;6,3
Feb-2015;6,1
Mär-2015;6,1
Apr-2015;6,1
Mai-2015;5,9
Jun-2015;6,0
Jul-2015;6,3
Aug-2015;6,1
Sep-2015;6,2
Okt-2015;5,9
Nov-2015;5,8
Dez-2015;5,7
Jän-2016;6,0
Feb-2016;5,7
Mär-2016;5,6
Apr-2016;5,7
Mai-2016;5,7
Jun-2016;5,7
Jul-2016;5,7
Aug-2016;5,6
Sep-2016;5,6
Okt-2016;5,6
Nov-2016;5,8
Dez-2016;5,8
Jän-2017;5,7
Feb-2017;5,8
Mär-2017;5,8
Apr-2017;5,7
Mai-2017;5,5
Jun-2017;5,6
Jul-2017;5,6
Aug-2017;5,6
Sep-2017;5,4
Okt-2017;5,4
Nov-2017;5,4
Dez-2017;5,5
Jän-2018;5,5
Feb-2018;5,5
Mär-2018;5,5
Apr-2018;5,6
Mai-2018;5,4
